Response ID,What is your gender?  ,Which of the following best describes your industry?  ,Which of the following best describes your current occupation?  ,"Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? My employer’s remote working policy suits me","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? I get to choose how much work I do remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? I choose which days I work remotely","Thinking about your employer’s policy on remote working, how strongly do you agree or disagree with the following statements? My direct manager has discretion to allow or deny remote work","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? My organization encouraged people to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? My organization was well prepared for me to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? It was common for people in my organization to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? t was easy to get permission to work remotely","Thinking about remote working in the last 6 months, how strongly do you agree or disagree with the following statements? I could easily collaborate with colleagues when working remotely","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Preparing for work and commuting","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Working","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Caring and domestic responsibilities","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Personal and family time","Think about your experience this year. On a day when you attend your employer's workplace, how many hours would you spend doing the following activities? Sleep","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Preparing for work and commuting","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Working","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Caring and domestic responsibilities","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Personal and family time","Think about your experience this year. On a day when you work remotely, how many hours would you spend doing the following activities? Sleep"
357,Male,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",4,4,3,3,3,3,3,4,4,2,7,2,5,8,3,6,2,7,6
358,Female,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",2,1,4,4,2,2,1,2,2,2.5,9,3,3,6.5,0,10,3,4,7
359,Male,Financial and Insurance,"Technicians and trades workers - Engineering, ICT and Science Technicians",4,4,3,4,5,4,5,5,5,1,9,0.5,5.5,8,0,9,1,6,8
360,Female,Other Services,Managers - Specialist Managers,3,1,1,4,2,2,3,3,2,2,8,3,4,7,1,9,4,3,7
361,Female,Retail Trade,"Managers - Hospitality, Retail and Service Managers",3,4,4,3,4,4,4,4,4,2,6,5,5,6,4,4,8,4,4
362,Male,Information Media and Telecommunications,Professionals - ICT Professionals,3,4,4,3,3,4,4,3,4,4,4,4,4,8,4,4,4,4,8
363,Male,"Electricity, Gas, Water and Waste",Community and personal service workers - Protective Service Workers,3,3,3,3,3,3,3,3,3,1,8,5,2,8,1,8,5,2,8
364,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,4,4,4,4,4,4,4,4,4,2,9,1,6,6,0,10,2,4,8
365,Female,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",4,4,5,5,3,2,1,4,4,2.5,9.5,2.5,2,7.5,0.5,10,3,3,7.5
366,Female,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,4,4,4,4,3,4,4,3,4,0,10,4,5,5,0,18,2,2,2
367,Male,Education and Training,Managers - Specialist Managers,4,5,5,3,3,4,2,5,5,3,10,1,4,6,0,10,2,6,6
368,Female,Retail Trade,Sales workers - Sales Support Workers,5,5,5,5,5,5,5,5,1,4,5,3,4,8,,5,3,8,8
369,Female,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",4,5,5,5,5,5,4,5,4,1,9,,5,9,2,8,1,3,10
370,Female,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",3,3,3,3,3,3,2,3,2,10,4,10,,,4,10,,10,
371,Female,Public Administration and Safety,Clerical and administrative workers - Personal Assistants and Secretaries,4,4,4,5,4,4,4,4,4,2,8,6,2,6,1,8,5,4,6
372,Female,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,5,1,1,3,3,4,4,4,4,1,8,3,5,7,2,8,3,3,8
373,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,4,4,4,4,4,2,8,2,4,8,0,8,2,6,8
374,Female,Other Services,Clerical and administrative workers - Clerical and Office Support Workers,1,1,2,5,5,5,5,5,4,2,8,5,3,6,0,8,3,5,8
375,Male,"Rental, Hiring and Real Estate","Managers - Chief Executives, General Managers and Legislators",3,1,1,2,4,3,1,2,3,2,8,4,4,6,0,9,3,5,7
376,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,2,3,3,4,3,3,3,2,2,1,6,6,3,8,1,8,4,3,8
377,Female,Other Services,Professionals - ICT Professionals,3,4,4,2,3,5,3,4,5,1.5,8,0,7.5,7,0.5,8,0,8.5,7
378,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,5,4,5,4,3,3,3,2,3,3,9,2,2,8,3,10,1,2,8
379,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,5,4,5,5,5,5,5,5,5,3,7,2,4,8,1,7,3,5,8
380,Male,"Transport, Postal and Warehousing",Sales workers - Sales Representatives and Agents,5,3,5,4,3,3,2,3,2,3,6,3,4,8,1,7,4,4,8
381,Female,"Transport, Postal and Warehousing",Clerical and administrative workers - Clerical and Office Support Workers,4,1,1,5,5,5,4,4,5,2,8,2,6,6,0,8,2,6,8
382,Female,Retail Trade,Professionals - ICT Professionals,4,5,5,4,4,4,5,4,5,3,8,3,2,8,0,8,2,5,9
383,Male,Retail Trade,Managers - Specialist Managers,2,3,4,3,4,3,3,3,4,1,11,2,2,8,0,12,2,2,8
384,Female,"Rental, Hiring and Real Estate",Managers - Specialist Managers,3,4,4,3,2,4,3,3,3,5,9,1,1,8,0,10,3,2,9
385,Male,Information Media and Telecommunications,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,3,5,5,5,5,4,5,4,5,4,4,4,6,6,3,5,3,6,7
386,Female,Other Services,Clerical and administrative workers - General Clerical Workers,4,4,5,3,4,4,4,4,3,3,3,10,3,5,3,2,3,5,11
387,Female,Wholesale Trade,Clerical and administrative workers - Personal Assistants and Secretaries,3,3,4,4,3,2,4,3,4,4,8,2,3,7,0,10,4,4,6
388,Male,Construction,"Managers - Chief Executives, General Managers and Legislators",5,4,5,5,4,5,2,5,5,2,9,2,3,8,1,10,2,3,8
389,Female,Retail Trade,Sales workers - Sales Representatives and Agents,5,4,5,1,5,5,5,5,5,2,9,,5,8,0,9,,7,8
390,Male,Financial and Insurance,"Technicians and trades workers - Engineering, ICT and Science Technicians",4,4,4,5,5,5,5,4,4,0,10,1,5,8,0,10,1,5,8
391,Male,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",4,2,4,5,1,4,2,2,3,2,7,4,4,7,0,6,8,3,7
392,Female,"Professional, Scientific and Technical",Managers - Specialist Managers,4,4,4,3,4,4,4,4,3,2,6,6,2,8,1,8,5,2,8
393,Male,"Transport, Postal and Warehousing","Managers - Chief Executives, General Managers and Legislators",4,4,4,4,5,4,4,4,2,1,7,3,6,7,0,7,3,7,7
394,Male,Public Administration and Safety,Managers - Specialist Managers,3,4,3,3,3,3,2,3,3,2,8,2,4,8,2,8,2,4,8
395,Male,Financial and Insurance,Managers - Specialist Managers,3,4,3,4,3,4,3,4,3,3,8,2,3,8,0,8,3,5,8
396,Female,Education and Training,Professionals - Education Professionals,4,2,2,2,5,3,5,4,2,2,9,3,3,7,0.5,10.5,3,3,7
397,Female,Manufacturing,Managers - Specialist Managers,5,5,5,4,5,4,2,5,4,1,8,5,4,6,0,10,5,3,6
398,Male,Construction,"Professionals - Design, Engineering, Science and Transport Professionals",3,2,4,1,3,2,2,4,4,4,2,10,2,6,2,12,2,2,6
399,Female,Financial and Insurance,"Managers - Chief Executives, General Managers and Legislators",5,5,5,4,5,5,1,5,5,0,8,3,5,8,0,8,3,5,8
400,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",3,4,4,4,3,4,2,2,4,0,10,4,4,6,2,10,3,4,5
401,Female,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,5,5,5,5,4,3,5,5,3,2,8,4,4,6,2,8,2,4,8
402,Male,Health Care and Social Assistance,Managers - Specialist Managers,5,5,5,5,4,4,4,4,5,2,11,3,3,5,0.5,9,4.5,4,6
403,Female,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",5,5,5,5,5,5,5,5,4,1.5,8,2,4.5,8,0,8,2,6,8
404,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",5,5,5,3,5,5,5,5,5,3,7,3,4,7,1,7,4,5,7
405,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",5,5,4,4,4,5,5,5,5,4,8,2,4,6,4,8,2,4,6
406,Female,"Professional, Scientific and Technical",Professionals - ICT Professionals,5,2,4,4,5,4,4,4,2,4,7,4,1,8,2,10,3,2,7
407,Female,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",4,4,4,5,4,5,4,4,2,2,11,2,2,7,0.5,11,2.5,3,7
408,Male,Mining,"Technicians and trades workers - Engineering, ICT and Science Technicians",3,3,3,5,3,3,3,3,3,5,4,5,5,5,5,4,5,5,5
409,Male,Information Media and Telecommunications,Managers - Specialist Managers,2,4,2,4,2,3,4,4,4,3,8,2,3,8,,10,3,3,8
410,Female,Construction,"Managers - Chief Executives, General Managers and Legislators",5,4,3,4,3,4,2,3,4,2.5,9,2,2.5,8,1,10,3,2,8
411,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,4,4,4,3,4,4,4,4,5,1,8,3,4,8,0,8,4,4,8
412,Female,Education and Training,Professionals - Education Professionals,3,1,1,5,3,1,4,4,5,2,8,2,2,10,1,8,2,3,10
413,Female,"Transport, Postal and Warehousing",Managers - Specialist Managers,1,1,1,1,1,1,1,1,1,2,9,3,3,7,2,9,3,3,7
414,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,3,3,3,3,4,4,2,3,4,2,8,1,3,10,3,8,2,3,8
415,Female,"Professional, Scientific and Technical","Professionals - Legal, Social and Welfare Professionals",4,4,4,2,3,4,5,1,2,2,11,3,2,6,0,9,3,6,6
416,Female,Education and Training,Clerical and administrative workers - Other Clerical and Administrative Workers,3,1,1,1,1,5,3,3,4,1.5,8.5,3,3,8,0,8.5,4,3.5,8
417,Female,Financial and Insurance,Clerical and administrative workers - General Clerical Workers,4,4,4,4,3,3,3,3,3,0,10,2,2,10,0,8,2,1,13
418,Male,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",3,1,1,5,1,2,1,1,2,2,11,1,3,7,0,12,1,3,8
419,Female,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,4,5,5,4,5,4,3,4,4,1,8,4,3,8,0,8,4,4,8
420,Female,Financial and Insurance,Clerical and administrative workers - Other Clerical and Administrative Workers,3,3,3,3,3,3,3,3,3,1,8,0,8,7,1,8,0,8,7
421,Female,Education and Training,Managers - Specialist Managers,4,4,4,5,4,5,4,5,4,2,7,3,4,8,1,9,2,4,8
422,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,4,4,4,4,4,4,4,4,1.5,7.5,1,4,10,1.5,8.5,2,2,10
423,Male,Other Services,"Managers - Chief Executives, General Managers and Legislators",4,5,4,5,4,5,5,4,4,2,8,3,3,8,2,8,3,3,8
424,Female,Education and Training,Professionals - Education Professionals,2,2,1,4,4,2,3,3,1,7,8,2,2,5,6,9,2,2,5
425,Male,Construction,Technicians and trades workers - Construction Trades Workers,4,4,4,4,4,4,3,4,4,1,7,3,5,8,0,8,3,5,8
426,Female,Other Services,Professionals - Health Professionals,4,4,4,4,4,4,3,4,4,1.5,7,3.5,4,8,0.5,7,4,4,8.5
427,Female,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",4,4,2,2,4,2,4,1,3,3,20,,1,,2,2,,20,
428,Male,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",5,4,5,5,4,3,4,4,4,3,9,3,3,6,0,10,3,3,8
429,Female,Wholesale Trade,Machinery operators and drivers - Mobile Plant Operators,1,3,5,2,3,2,3,4,1,3,10,5,3,3,3,6,3,5,7
430,Male,"Professional, Scientific and Technical",Professionals - ICT Professionals,4,1,2,5,4,4,4,4,5,2,7.5,2,4.5,8,0,7.5,2,6.5,8
431,Female,Health Care and Social Assistance,"Professionals - Legal, Social and Welfare Professionals",1,1,3,5,1,3,1,2,5,3,8,2,4,7,0.5,8,3,5.5,7
432,Female,Construction,"Professionals - Business, Human Resource and Marketing Professionals",5,4,4,4,3,4,4,4,5,8,3,3,2,8,6,3,3,5,7
433,Male,"Transport, Postal and Warehousing",Machinery operators and drivers - Road and Rail Drivers,5,4,5,3,5,5,5,5,3,0.5,6,1.5,6,10,0,6,1.5,6.5,10
434,Female,Manufacturing,Clerical and administrative workers - Office Managers and Program Administrators,4,4,5,4,3,4,4,5,4,3,9,3,3,6,1,10,3,3,7
435,Female,"Professional, Scientific and Technical",Professionals - Arts and Media Professionals,4,4,4,4,4,4,4,4,4,1.5,7,1,5.5,9,0,7,2,6,9
436,Male,Health Care and Social Assistance,Professionals - ICT Professionals,5,4,4,4,4,4,4,4,5,3,8,5,1,7,0,9,3,4,8
437,Male,Retail Trade,Technicians and trades workers - Food Trades Workers,4,4,3,3,4,5,3,4,3,5,6,5,5,3,5,1,5,5,8
438,Female,Information Media and Telecommunications,Professionals - ICT Professionals,5,4,4,5,4,5,5,5,5,5,5,3,5,6,5,5,3,5,6
439,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,4,3,4,5,5,4,4,4,3,2,8,3,3,8,0,10,4,2,8
440,Female,Arts and Recreation,Machinery operators and drivers - Road and Rail Drivers,2,4,3,1,3,4,5,4,2,2,8,2,5,7,1,8,5,3,7
441,Female,Other Services,Clerical and administrative workers - General Clerical Workers,5,4,5,1,5,5,5,4,3,0,7,4,3,10,0,7,4,3,10
442,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",4,1,1,5,4,5,5,5,5,9,4,4,3,4,3,4,5,5,7
443,Female,Retail Trade,Clerical and administrative workers - Clerical and Office Support Workers,4,1,4,5,4,4,2,4,3,2,7,2,6,7,,7,3,6,8
444,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",3,4,3,4,4,3,4,5,2,2,10,4,2,6,2,10,3,4,5
445,Male,Administrative and Support,Sales workers - Sales Representatives and Agents,4,1,1,2,2,3,2,4,2,2,8,3,3,8,1,8,3,4,8
446,Male,Information Media and Telecommunications,Managers - Specialist Managers,4,3,3,4,4,5,5,4,4,2,8,4,2,8,1,8,4,4,7
447,Female,Health Care and Social Assistance,Professionals - Health Professionals,4,2,4,5,4,4,4,4,4,3,6,4,4,7,1,6,6,4,7
448,Female,Other Services,Clerical and administrative workers - General Clerical Workers,4,5,4,2,4,3,4,5,4,1,8,3,4,8,1,7,2,5,9
449,Male,Education and Training,Professionals - Education Professionals,1,1,1,1,1,4,1,1,5,2,8,3,5,6,0,10,3,5,6
450,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",4,5,5,3,3,4,5,3,5,3,5,3,5,8,5,4,4,7,4
451,Male,Accommodation and Food,"Managers - Hospitality, Retail and Service Managers",5,5,5,3,3,3,2,3,3,1,8,3,5,7,0,5,5,7,7
452,Female,Health Care and Social Assistance,Professionals - Health Professionals,4,2,2,4,5,4,4,4,3,2,8,,6,8,1,8,,7,8
453,Male,Construction,"Managers - Chief Executives, General Managers and Legislators",3,3,2,4,2,3,2,2,1,10,1,2,10,1,,,,24,
454,Male,Wholesale Trade,Managers - Specialist Managers,4,4,3,4,4,4,4,3,4,1,7,4,4,8,1,7,3,3,10
455,Male,Mining,"Managers - Chief Executives, General Managers and Legislators",5,5,5,4,3,4,4,5,4,2,8,2,5,7,0,8,2,7,7
456,Female,Information Media and Telecommunications,Professionals - ICT Professionals,5,5,5,5,5,5,5,5,5,0,8,6,3,7,0,8,4,5,7
457,Male,Construction,"Managers - Chief Executives, General Managers and Legislators",3,3,3,4,4,4,4,3,3,1,9,2,4,8,0.5,9.5,2,4,8
458,Female,Financial and Insurance,Managers - Specialist Managers,4,4,4,4,4,4,4,4,4,4,8,3,1,8,0,8,4,4,8
459,Female,Other Services,"Labourers - Farm, Forestry and Garden Workers",3,3,4,3,5,5,5,5,5,1,6,4,6,7,1,7,4.5,4.5,7
460,Female,Public Administration and Safety,Clerical and administrative workers - Other Clerical and Administrative Workers,4,1,3,3,5,5,5,3,3,0,8,5,4,7,0,8,5,4,7
461,Female,Public Administration and Safety,Managers - Specialist Managers,1,1,1,2,1,5,4,2,5,1.5,8.5,5.5,2,6.5,0.5,8,5.5,3,7
462,Female,Education and Training,Professionals - Education Professionals,3,1,1,1,1,1,1,1,3,1.5,9.5,3,6,4,0,12,2,4,6
463,Female,Health Care and Social Assistance,Technicians and trades workers - Other Technicians and Trades Workers,4,2,3,4,3,3,2,3,4,2,8,2,4,8,0,8,2,6,8
464,Female,Construction,Managers - Specialist Managers,1,2,2,5,4,4,4,4,2,4,8,1,4,7,1,10,1,4,8
465,Female,Financial and Insurance,Managers - Specialist Managers,3,2,2,2,2,2,2,4,1,5,5,5,5,4,2,2,2,4,14
466,Male,Public Administration and Safety,Managers - Specialist Managers,3,4,3,3,3,3,4,3,4,2,8,4,3,7,0,8,4,4,8
467,Female,"Professional, Scientific and Technical","Managers - Chief Executives, General Managers and Legislators",4,4,4,4,4,4,4,4,4,1,8,4,4,7,0,8,4,5,7
468,Male,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",5,5,5,5,5,5,5,5,3,0,7,5,4,8,0,7,3,6,8
469,Male,Construction,Labourers - Construction and Mining Labourers,5,1,2,1,5,5,5,5,5,1,8,3,4,8,1,8,3,4,8
470,Female,Retail Trade,"Managers - Chief Executives, General Managers and Legislators",4,4,2,4,3,3,3,4,4,1,9,2,3,9,0,9,4,3,8
471,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",4,3,2,5,4,3,5,4,2,2,8,2,4,8,1,8,4,4,7
472,Female,Arts and Recreation,Professionals - Arts and Media Professionals,5,5,5,3,5,5,5,5,5,0,8,4,4,8,0,8,4,4,8
473,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,4,3,3,5,4,4,4,4,4,2,9,4,2,7,0,10,3,4,7
474,Male,Education and Training,Professionals - Education Professionals,2,1,1,1,2,2,1,1,1,1,7,7,1,8,0,7,7,2,8
475,Male,Other Services,Managers - Specialist Managers,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,4
476,Female,Financial and Insurance,Professionals - ICT Professionals,4,4,2,3,4,4,4,4,2,3,7,3,4,7,0,8,4,4,8
477,Male,Information Media and Telecommunications,Professionals - ICT Professionals,4,3,5,4,4,3,4,4,2,8,8,2,2,4,1,8,3,3,9
478,Male,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",5,4,4,3,5,4,5,5,5,3,6,4,4,7,1,7,4,5,7
479,Male,Information Media and Telecommunications,Managers - Specialist Managers,5,4,4,5,4,3,4,4,5,1,8,1,7,7,0,8,1,8,7
480,Female,Education and Training,Clerical and administrative workers - General Clerical Workers,5,4,5,4,5,5,4,5,4,3,8,2,3,8,1,8,2,5,8
481,Male,Public Administration and Safety,Technicians and trades workers - Skilled Animal and Horticultural Workers,4,3,1,4,4,5,4,3,4,1,7,5,3,8,7,1,5,3,8
482,Female,Health Care and Social Assistance,Professionals - Health Professionals,5,5,4,4,4,5,4,5,4,6,4,5,6,3,8,9,2,3,2
483,Male,"Transport, Postal and Warehousing","Professionals - Business, Human Resource and Marketing Professionals",3,4,4,4,3,4,4,4,4,4,8,3,1,8,2,8,4,2,8
484,Male,Administrative and Support,Community and personal service workers - Hospitality Workers,2,2,3,3,1,3,3,2,3,4,4,4,4,8,4,4,4,4,8
485,Female,Information Media and Telecommunications,Clerical and administrative workers - General Clerical Workers,4,4,5,5,4,5,5,5,5,3,9,2,2,8,0,10,3,3,8
486,Male,"Electricity, Gas, Water and Waste","Professionals - Business, Human Resource and Marketing Professionals",4,4,5,4,4,5,5,5,5,4,8.5,2,2,7.5,0,8.5,2.5,5,8
487,Female,Education and Training,Professionals - Education Professionals,4,3,5,5,2,4,4,3,5,2,7,3,3,9,0.5,7,3,5,8.5
488,Male,Retail Trade,Managers - Specialist Managers,4,4,3,3,3,3,4,4,3,1,11,2,3,7,1,12,2,4,5
489,Female,"Electricity, Gas, Water and Waste",Clerical and administrative workers - General Clerical Workers,4,1,1,1,2,2,2,4,4,1,8,8,1,6,1,8.5,5,1.5,8
490,Female,Arts and Recreation,Professionals - Arts and Media Professionals,5,5,5,1,4,5,5,3,3,5,3,1,5,10,4,5,1,4,10
491,Female,Health Care and Social Assistance,Clerical and administrative workers - Other Clerical and Administrative Workers,5,5,5,5,5,3,5,5,5,3.5,7.6,2.4,3.5,7,0.5,8,2,6.5,7
492,Female,Other Services,Professionals - Health Professionals,3,3,3,3,3,3,3,3,3,6,10,2,2,4,4,12,2,2,4
493,Male,Information Media and Telecommunications,Managers - Specialist Managers,5,4,4,5,5,5,4,4,4,1,8,1,7,7,0,8,1,8,7
494,Female,Information Media and Telecommunications,"Professionals - Business, Human Resource and Marketing Professionals",4,4,2,5,1,4,2,2,3,4,8,2,2,8,0.5,9,2,4.5,8
495,Male,Mining,Managers - Specialist Managers,4,1,4,5,2,2,2,2,2,0,20,4,0,0,5,5,5,5,4
496,Female,Information Media and Telecommunications,Professionals - ICT Professionals,4,4,4,4,3,4,4,2,2,2,8,3,4,7,0.5,8,3.5,5,7
497,Female,Accommodation and Food,Clerical and administrative workers - Office Managers and Program Administrators,4,4,5,5,5,5,5,5,4,2,7,3,4,8,2,7,4,4,7
498,Male,Education and Training,Professionals - Education Professionals,3,1,1,1,1,4,1,1,4,1,7,4,4,8,0,7,4,5,8
499,Female,Information Media and Telecommunications,"Professionals - Design, Engineering, Science and Transport Professionals",4,4,4,4,4,4,4,4,4,4,9,2,2,7,1,10,2,3,8
500,Male,Information Media and Telecommunications,"Managers - Chief Executives, General Managers and Legislators",2,3,4,4,4,3,4,3,4,1,7,2,5,9,0,7,3,5,9
501,Female,Arts and Recreation,Clerical and administrative workers - Other Clerical and Administrative Workers,5,5,5,5,4,5,4,5,5,1,7,4,4,8,1,7,4,4,8
502,Female,"Professional, Scientific and Technical","Professionals - Business, Human Resource and Marketing Professionals",5,5,5,5,5,5,5,5,5,0,8,3,3,10,0,8,3,3,10
503,Female,Education and Training,Professionals - Education Professionals,4,1,1,5,2,3,2,3,4,5,5,7,2,5,2,4,10,4,4
504,Female,Public Administration and Safety,Professionals - Health Professionals,4,5,5,5,5,3,5,3,2,3,7,2,5,7,0,8,2,6,8
505,Female,Construction,Sales workers - Sales Representatives and Agents,2,4,1,3,2,2,4,3,3,3,10,1,2,8,1,23,0,0,0
506,Male,Health Care and Social Assistance,"Managers - Chief Executives, General Managers and Legislators",4,4,4,4,3,3,3,2,4,1.5,10,5,2,5.5,0,12,4,2,6
507,Male,Health Care and Social Assistance,Professionals - ICT Professionals,4,4,4,4,4,4,4,4,4,3,8,5,1,7,0,9,3,4,8
508,Female,Information Media and Telecommunications,Managers - Specialist Managers,4,4,4,4,1,2,1,1,3,4,8,1,3,8,1,8,3,4,8
509,Male,Wholesale Trade,"Managers - Chief Executives, General Managers and Legislators",3,4,4,4,4,4,4,4,4,2,8,4,3,7,2,9,3,3,7
510,Female,Manufacturing,"Managers - Chief Executives, General Managers and Legislators",5,5,5,5,1,1,1,1,1,2,9,6,5,2,2,9,3,6,4
511,Female,"Electricity, Gas, Water and Waste","Managers - Chief Executives, General Managers and Legislators",3,5,3,3,3,3,3,3,3,1,8,4,4,7,1,9,5,5,4
512,Female,"Electricity, Gas, Water and Waste",Labourers - Factory Process Workers,4,3,4,3,3,4,4,4,4,3,10,2,4,5,4,4,2,4,10
513,Male,Information Media and Telecommunications,Professionals - ICT Professionals,4,3,4,4,4,4,4,3,4,1,8,2,5,8,1,8,2,5,8
514,Female,Education and Training,Professionals - Education Professionals,4,5,5,5,3,1,2,3,5,1,3,2,10,8,0,3,2,11,8
515,Female,Financial and Insurance,"Professionals - Business, Human Resource and Marketing Professionals",5,4,4,5,4,2,5,4,4,3,8,1,4,8,3,7,6,5,3
516,Female,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,5,4,5,4,5,5,4,5,5,3,8,2,2,9,0,8,2,4,10
517,Female,Information Media and Telecommunications,Professionals - ICT Professionals,4,3,2,5,5,4,4,3,5,2,4,3,7,8,2,10,2,2,8
518,Male,Retail Trade,Managers - Specialist Managers,4,3,3,3,3,4,4,4,4,1,7.5,3,3,9.5,1,7,4,3,9
519,Female,Administrative and Support,Clerical and administrative workers - Clerical and Office Support Workers,2,1,1,5,5,5,5,5,5,3,8,2,6,5,0,8,2,5,9
520,Male,Wholesale Trade,Community and personal service workers - Carers and Aides,4,3,4,2,4,4,5,3,4,1,10,3,2,8,2,10,4,6,2
521,Female,"Transport, Postal and Warehousing",Professionals - ICT Professionals,4,5,4,4,5,4,3,5,4,3,8,2,3,8,0,9,2,5,8
522,Male,Retail Trade,"Professionals - Legal, Social and Welfare Professionals",4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,8
523,Female,Manufacturing,"Technicians and trades workers - Engineering, ICT and Science Technicians",3,3,3,3,3,3,3,3,3,1,8,1,6,8,0,8,2,6,8
524,Female,Retail Trade,Sales workers - Sales Representatives and Agents,5,1,1,5,5,5,5,5,5,4,8,1,5,6,1,10,2,3,8
525,Female,Administrative and Support,"Professionals - Business, Human Resource and Marketing Professionals",5,5,5,4,3,4,4,4,2,4,8,4,2,6,1,9,4,4,6
526,Male,Information Media and Telecommunications,Managers - Specialist Managers,2,4,4,3,4,3,4,4,5,3,7,2,5,7,0,6,4,6,8
527,Female,Other Services,"Professionals - Business, Human Resource and Marketing Professionals",3,3,3,3,3,4,4,4,4,2,6,3,5,8,0,7,4,5,8
528,Female,Health Care and Social Assistance,Clerical and administrative workers - Clerical and Office Support Workers,2,2,2,3,2,2,2,2,2,1.5,8,4.5,2,8,1.5,8,3.5,3,8
529,Female,Health Care and Social Assistance,Managers - Specialist Managers,3,4,3,4,3,4,4,3,4,3,6,3,4,8,1,7,3,4,9
530,Male,Other Services,Technicians and trades workers - Electrotechnology and Telecommunications Trades Workers,5,1,1,5,5,5,5,5,5,3.5,10,1,2,7.5,3.5,10,1,2,7.5
531,Female,Accommodation and Food,"Managers - Chief Executives, General Managers and Legislators",3,1,1,2,4,1,2,5,1,1,2,3,1,17,10,10,1,1,2
532,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,5,4,4,4,5,4,4,5,4,1,9,3,4,7,0.5,9,3,4,7.5
533,Male,Mining,"Professionals - Business, Human Resource and Marketing Professionals",2,2,4,4,2,3,2,2,5,2,7,6,1,8,0,7,6,3,8
534,Male,"Agriculture, Forestry and Fishing","Managers - Chief Executives, General Managers and Legislators",4,3,3,2,1,3,4,4,3,2,6,8,6,2,7,7,8,1,1
535,Female,Education and Training,Professionals - Education Professionals,5,4,4,5,4,4,5,5,4,3,9,2,1,9,2,9,3,2,8
536,Male,"Professional, Scientific and Technical",Managers - Specialist Managers,5,5,5,5,5,5,5,5,5,0,8,6,4,6,1,8,4,4,7
537,Male,Financial and Insurance,Managers - Specialist Managers,5,4,5,4,4,4,5,5,5,5,15,1,1,2,1,15,3,3,2
